,,,,oral_health,oral_health,,
,변수,구분,표본 수,좋음(0),나쁨(1),검정통계량(Rao-Scott),p-value
0,성별,남자,"1,284,529 (50.9%)","690,492 (53.8%)","594,037 (46.2%)",255.262,< 0.001
1,,여자,"1,236,685 (49.1%)","561,730 (45.4%)","674,955 (54.6%)",,
2,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
3,학교,중학교,"1,262,388 (50.1%)","664,049 (52.6%)","598,338 (47.4%)",127.054,< 0.001
4,,고등학교,"1,258,827 (49.9%)","588,173 (46.7%)","670,654 (53.3%)",,
5,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
6,성적수준,상,"915,590 (36.3%)","450,990 (49.3%)","464,600 (50.7%)",36.786,< 0.001
7,,중,"763,919 (30.3%)","396,779 (51.9%)","367,140 (48.1%)",,
8,,하,"841,706 (33.4%)","404,453 (48.1%)","437,252 (51.9%)",,
9,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
10,경제수준,상,"991,470 (39.3%)","515,559 (52.0%)","475,910 (48.0%)",127.885,< 0.001
11,,중,"1,210,713 (48.0%)","601,151 (49.7%)","609,562 (50.3%)",,
12,,하,"319,032 (12.7%)","135,512 (42.5%)","183,520 (57.5%)",,
13,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
14,주중 스마트폰 사용시간,3시간 이하,"979,198 (38.8%)","522,290 (53.3%)","456,907 (46.7%)",173.183,< 0.001
15,,3~5시간,"788,544 (31.3%)","390,240 (49.5%)","398,304 (50.5%)",,
16,,5~8시간,"476,818 (18.9%)","218,182 (45.8%)","258,636 (54.2%)",,
17,,8시간 이상,"276,655 (11.0%)","121,510 (43.9%)","155,145 (56.1%)",,
18,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
19,주말 스마트폰 사용시간,3시간 이하,"517,093 (20.5%)","284,917 (55.1%)","232,175 (44.9%)",219.576,< 0.001
20,,3~5시간,"655,585 (26.0%)","340,374 (51.9%)","315,211 (48.1%)",,
21,,5~8시간,"688,215 (27.3%)","333,422 (48.4%)","354,793 (51.6%)",,
22,,8시간 이상,"660,322 (26.2%)","293,509 (44.4%)","366,813 (55.6%)",,
23,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
24,스마트폰 의존도,없음(아니오),"1,866,252 (74.0%)","1,021,136 (54.7%)","845,116 (45.3%)",1068.947,< 0.001
25,,위험군,"654,963 (26.0%)","231,087 (35.3%)","423,876 (64.7%)",,
26,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
27,수면 품질,없음(아니오),"761,376 (30.2%)","440,816 (57.9%)","320,560 (42.1%)",431.187,< 0.001
28,,있음(예),"1,759,839 (69.8%)","811,406 (46.1%)","948,432 (53.9%)",,
29,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
30,불안,없음(아니오),"1,675,261 (66.4%)","938,446 (56.0%)","736,814 (44.0%)",1211.784,< 0.001
31,,가벼움,"563,040 (22.3%)","219,494 (39.0%)","343,546 (61.0%)",,
32,,중간,"194,033 (7.7%)","65,232 (33.6%)","128,801 (66.4%)",,
33,,심각,"88,881 (3.5%)","29,050 (32.7%)","59,831 (67.3%)",,
34,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
35,스트레스,상,"858,585 (34.1%)","355,246 (41.4%)","503,339 (58.6%)",757.181,< 0.001
36,,중,"1,125,649 (44.6%)","569,096 (50.6%)","556,553 (49.4%)",,
37,,하,"536,980 (21.3%)","327,880 (61.1%)","209,100 (38.9%)",,
38,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
39,절망감,없음(아니오),"1,890,601 (75.0%)","1,007,161 (53.3%)","883,439 (46.7%)",573.239,< 0.001
40,,있음(예),"630,614 (25.0%)","245,061 (38.9%)","385,553 (61.1%)",,
41,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
42,자살 생각,없음(아니오),"2,249,339 (89.2%)","1,152,086 (51.2%)","1,097,253 (48.8%)",292.813,< 0.001
43,,있음(예),"271,875 (10.8%)","100,136 (36.8%)","171,739 (63.2%)",,
44,total,,"2,521,215","1,252,223 (49.7%)","1,268,992 (50.3%)",,
